Prompt,Completion
Can an insured person make a claim under the insurance policy for non-accidental causes of death?,"No, the insurance policy only covers accidental death and not death resulting from non-accidental causes."
"What is the Deductible or Franchise, and how does it affect the compensation payable","The Deductible or Franchise, if applicable, shall be deducted from the Compensation payable."
What is the definition of Loss of Mastication in the Tables of Benefits?,Loss of Mastication means the total and irrecoverable loss of ability to chew food.
How is Permanent disablement as a direct result of exposure to the elements treated under this insurance policy?,Permanent disablement as a direct result of exposure to the elements shall be deemed to be Bodily Injury.
Can an Insured Person claim under both the Permanent Disablement and Accidental Death Sections of the policy in case of death?,"If an Insured Person dies as the result of the Bodily Injury, any amount claimed and paid to the Insured Person under the Permanent Disablement Section will be deducted from any payment under the Accidental Death Section."
What happens when an Insured Person has multiple disablements due to the same Accident?,"The total amount payable in respect of more than one disablement due to the same Accident is arrived at by adding together the various percentages shown in the Table of Benefits, but shall not exceed the Total Sum Insured."
Can the insurance policy be terminated after the payment of a benefit equal to the Total Sum Insured?,"Yes, the insurance shall terminate for an Insured Person under this Section upon payment of a benefit equal to the Total Sum Insured"
How is any benefit payable under item 23 of Table (C) determined?,Any benefit payable under item 23 of Table (C) shall be at the complete discretion of the Company taking into consideration the nature of the Bodily Injury in conjunction with the stated Compensation percentages for more specific injuries shown in the Table of Benefits.
Is there a specific time limit after which it is deemed that the Insured Person has died as a result of an Accident?,"In the event of the disappearance of the Insured Person, following a forced landing, stranding, sinking or wrecking of a conveyance in which such Insured Person was known to have been travelling as an occupant, it shall be deemed after twelve (12) months, subject to all other terms and conditions of this Policy, that such Insured Person shall have died as the result of an Accident."
What expenses will the company reimburse under the Emergency Medical Expenses section?,"The company will reimburse necessary Usual and Reasonable Medical Expenses, incurred within two (2) months from the Date of Loss, up to the Sum Insured stated in the Schedule. This includes charges for semi-private Hospital room and board, use of the operating room, emergency room, and Ambulatory Medical Centre, fees of Physicians, Medical Expenses, in or out of Hospital, charges for a registered nurse (R.N), and other medical expenses such as laboratory tests, ambulance service (to or from the Hospital), prescription medicines or drugs, therapeutics, anaesthetics (including administration of anaesthetics), transfusions, artificial Limbs or eyes (excluding repair or replacement of these items), x-rays, prosthetic appliances."
What is the time limit for the reimbursement of medical expenses under this section?,The reimbursement of medical expenses is limited to the necessary Usual and Reasonable Medical Expenses incurred within two (2) months from the Date of Loss.
What is the deductible or franchise and how does it affect the compensation payable?,"The deductible or franchise, if applicable, shall be deducted from the Compensation payable."
What is Ambulatory Medical Centre?,"Ambulatory Medical Centre means a licensed facility providing ambulatory surgical or medical treatment, other than a Hospital, clinic, or Physician's office."
What is the definition of Usual and Reasonable Medical Expenses?,"Usual and Reasonable Medical Expenses mean fees and prices generally charged in the locality where performed for medically necessary services and supplies required for treatment of cases of comparable severity and nature, but not to include charges that would not have been made if no insurance existed."
Is the company liable to pay any benefit in respect of any Insured Person for medical expenses incurred when the specific purpose of a journey is to receive medical treatment or advice?,"No, the company is not liable to pay any benefit in respect of any Insured Person for medical expenses incurred when the specific purpose of a journey is to receive medical treatment or advice."
What is Medical Repatriation?,"Medical repatriation is the payment of actual costs or Total Sum Insured for repatriating the Insured Person back to their Country of Residence or Country of Citizenship, if they are unable to continue their journey after a Hospital stay or medical treatment due to Bodily Injury or Sickness."
"Is the decision of the most appropriate means, timing, and course of action up to the Assistance Provider?","Yes, the decision on the most appropriate means, timing, and course of action belongs to the Assistance Provider only."
What is Body Repatriation?,"Body Repatriation is the payment of actual costs or Total Sum Insured for the repatriation of the corpse of the Insured Person to their Country of Residence or Country of Citizenship, if they die due to Bodily Injury or Sickness."
What is the condition for availing the benefits under Medical Repatriation and Body Repatriation?,The Assistance Provider Services Section must be purchased and contacted prior to any arrangements being made for such benefits.
Will the company pay for appropriate medical authorities to accompany the Insured Person during the return journey?,"Yes, if the gravity of the situation so dictates, then the Company will pay for appropriate medical authorities to accompany the Insured Person during the return journey."
Is there any limit on the Total Sum Insured for Medical Repatriation and Body Repatriation?,The Total Sum Insured stated in the Schedule is the limit up to which the actual costs will be paid for both Medical Repatriation and Body Repatriation.
What happens if the Policyholder or Insured Person has other insurance against a loss covered by this Section?,The Company shall not be liable for a greater proportion of the loss than the applicable benefit under this Section bears to the total applicable benefit under all such insurance.
Will the company be liable for any loss if the Insured Person or anyone acting on their behalf has not contacted the Assistance Provider before arranging for the benefits?,"No, the Company shall not be liable to pay any benefit in respect of any Insured Person if the Insured Person or anyone acting on behalf of the Insured Person has not contacted the Assistance Provider prior to any arrangements that may give rise to a claim under this Section."
What if an Insured Journey is undertaken against the advice of a qualified licensed medical practitioner?,The Company shall not be liable to pay any Medical Expenses incurred where an Insured Journey is undertaken against the advice of a qualified licensed medical practitioner.
Will the Company pay for any Medical Expenses incurred when the specific purpose of a journey is to receive medical treatment or advice?,"No, the Company shall not be liable to pay any Medical Expenses incurred when the specific purpose of a journey is to receive medical treatment or advice."
Is there a difference between the repatriation of the Insured Person and the repatriation of the corpse of the Insured Person?,"Yes, Medical Repatriation is for the repatriation of the Insured Person back to their Country of Residence or Country of Citizenship, whereas Body Repatriation is for the repatriation of the corpse of the Insured Person to their Country of Residence or Country of Citizenship."
Is the decision to pay for Medical Repatriation or Body Repatriation solely up to the Company?,"No, the decision on whether to pay for Medical Repatriation or Body Repatriation and the amount to be paid is based on the actual costs or Total Sum Insured stated in the Schedule and is made by the Assistance Provider."
Can an Insured Person avail of Medical Repatriation or Body Repatriation benefits if they are not hospitalized?,No
What must be purchased and contacted for the Emergency Hotel Extension benefit to be insured?,The Assistance Provider Services Section
How many days must an Insured Person stay in a hospital for the Emergency Hotel Extension benefit to be applicable?,More than five (5) days.
What is the maximum amount the Company agrees to pay for Hotel accommodation under the Emergency Hotel Extension benefit?,The Total Sum Insured stated in the Schedule.
What happens if an Insured Person misses their scheduled flight back to the country of residence due to a hospital stay?,"The Company will pay for the costs of Hotel accommodation or until a return flight becomes available, whichever is the earlier."
"Who has the decision on the most appropriate means, timing and course of action regarding the Emergency Hotel Extension benefit?",The Assistance Provider only.
What happens if an Insured Person has other insurance against a loss covered by the Assistance Provider Services Section?,The Company shall not be liable for a greater proportion of the loss than the applicable benefit under this Section bears to the total applicable benefit under all such insurance.
What is the first Specific Exclusion listed in the Policy regarding the Emergency Travel Benefits section?,The Company shall not be liable to pay any benefit in respect of any Insured Person if they or anyone acting on their behalf has not contacted the Assistance Provider prior to an event that may give rise to a claim under this Section.
When is the Company not liable to pay any Medical Expenses incurred in an Insured Journey?,When the specific purpose of a journey is to receive medical treatment or advice.
How long after an Accident must an Insured Person sustain Bodily Injury resulting in death for the Company to pay Compensation to their Beneficiary or legal representative?,Within twelve (12) calendar months.
What happens if any amounts are paid under the Permanent Disablement or Permanent Disablement - Common Carrier Section when claiming compensation under the Personal Accident - Common Carrier Section? ,Any amounts paid under that Section would be deducted from payment of a claim under this Section of the Policy.
What is the name of the Insurance Company mentioned in the Policy wording?,HDFC ERGO General Insurance Company Limited.
What is the customer service address of the Insurance Company mentioned in the Policy wording?,"th Floor, Leela Business Park, Andheri Kurla Road, Andheri (E), Mumbai – 400 059."
What is the purpose of the Hospital Cash - Accident & Sickness section of the insurance policy?,The purpose of the Hospital Cash - Accident & Sickness section of the insurance policy is to provide the Insured Person with a Daily Benefit if they sustain Bodily Injury or Sickness resulting in being an in-patient at a hospital within one month of the Date of Loss.
What is the Deductible or Franchise in the Hospital Cash - Accident & Sickness section?,The Deductible or Franchise in the Hospital Cash - Accident & Sickness section is an amount that will be deducted from the compensation payable by the Company.
What happens in case of successive Hospital stays with less than sixty days between each one for the same cause?,"In case of successive Hospital stays with less than sixty days between each one for the same cause, the Deductible or Franchise will only apply once, and the Hospital stays will be deemed as one event."
When does the cover under the Hospital Cash - Accident & Sickness section cease for an Insured Person?,"Once the Company has paid the Daily Benefit up to the maximum number of Days stated in the Schedule, cover under this Section will cease for such Insured Person."
What is the purpose of the Loss of Baggage & Personal Documents section of the insurance policy?,"The purpose of the Loss of Baggage & Personal Documents section of the insurance policy is to reimburse the Insured Person for the cost of replacement of their Baggage, Personal Documents, and/or Personal Effects that are damaged or lost during the Period of Insurance."
"
What is the Total Sum Insured in the Loss of Baggage & Personal Documents section?
","The Total Sum Insured in the Loss of Baggage & Personal Documents section is the maximum amount that the Company will reimburse the Insured Person for any amount up to, as stated in the Schedule."
What is the Deductible in the Loss of Baggage & Personal Documents section?,The Deductible in the Loss of Baggage & Personal Documents section is an amount that will be deducted from the compensation payable by the Com
What is the maximum limit of a claim involving a motor vehicle in the Loss of Baggage & Personal Documents section?,The maximum limit of a claim involving a motor vehicle in the Loss of Baggage & Personal Documents section is fifty percent (50%) of the Sum Insured stated in the Schedule.
How does the Company assess the value of the claim under the Loss of Baggage & Personal Documents section?,"The Company assesses the value of the claim based on the age and estimated wear and tear of the article that forms the basis of the claim, at its own discretion."
What happens if an Insured Person has other insurance against a loss covered by the Loss of Baggage & Personal Documents section?,"If an Insured Person has other insurance against a loss covered by the Loss of Baggage & Personal Documents section, the Company shall not be liable for a greater proportion of the loss than the applicable benefit under this Section bears to the total applicable benefit under all such insurance."
What are Personal Documents in the insurance policy?,"Personal Documents in the insurance policy refer to the Insured Person's identity card (if applicable), ration card, voter identity card, passport, driving license, and car license."
Is the Baggage Delay Section covered under the Loss of Baggage & Personal Documents section?,"Yes, if payment has been made under the Baggage Delay Section, any amounts paid would be deducted from payment of a claim under this Section of the Policy."
Can the Company assess the value of a claim under the Loss of Baggage & Personal Documents section at its own discretion?,"Yes, the Company can assess the value of a claim based on the age and estimated wear and tear of the article that forms the basis of the claim."
Will the company pay for permanent crowns or artificial teeth?,"No, the company will not be liable to pay any benefit for permanent crowns or artificial teeth."
Is the Assistance Provider Services Section included in the policy?,The Assistance Provider Services Section is not automatically included in the policy.
Can the company be held liable for a greater proportion of the loss than the applicable benefit under this section bears to the total applicable benefit under all insurance?,"No, the company shall not be liable for a greater proportion of the loss than the applicable benefit under this section bears to the total applicable benefit under all insurance."
"What is the specific condition for the decision on the most appropriate means, timing, and course of action?","The decision on the most appropriate means, timing, and course of action belongs to the Assistance Provider only."
Can the company be held liable for any benefit in respect of any insured person who has not contacted the Assistance Provider prior to any arrangements?,"No, the company shall not be liable to pay any benefit in respect of any insured person who has not contacted the Assistance Provider prior to any arrangements that may give rise to a claim under this section."
Can the company be held liable for any medical expenses incurred where an insured journey is undertaken against the advice of a qualified licensed medical practitioner?,"No, the company shall not be liable to pay any medical expenses incurred where an insured journey is undertaken against the advice of a qualified licensed medical practitioner."
Does the Assistance Provider need to be contacted before any arrangements are made for benefits under the policy? ,"Yes, the Assistance Provider needs to be contacted before any arrangements are made for benefits under the policy."
Can the company be held liable for any medical expenses incurred when the specific purpose of a journey is to receive medical treatment or advice?,"No, the company shall not be liable to pay any medical expenses incurred when the specific purpose of a journey is to receive medical treatment or advice."
What are some of the specific exclusions of the Policy?,"Some of the specific exclusions of the Policy include loss of cash, mechanical or electrical breakdown or derangement or breakage of fragile or brittle articles, destruction or damage due to wear and tear, moth or vermin, baggage, clothing and personal effects dispatched as unaccompanied baggage, theft from a motor"
What are the specific provisions for successive Hospital stays for the same cause?,"In case of successive Hospital stays with less than sixty (60) Days between each one for a same cause, the Deductible or Franchise will only apply once, as the Hospital stays will be deemed as one event."
What are the specific claims provisions for a claim under this Section?,"The Insured Person must give immediate written notice, submit a copy of the relevant Common Carrier or police report when a claim is made, obtain a Common Carrier or police report where the loss occurred, retain original tickets and baggage slips in the event of loss by a Common Carrier, submit original purchase receipts in the event of claims regarding goods purchased during the Insured Journey, and for claims involving jewelry, submit original or certified copies of valuation certificates issued prior to the commencement of the Period of Insurance, when a claim is made."
What will happen to amounts paid under the Baggage Delay Section if applicable?,"Any amounts paid under the Baggage Delay Section, if applicable, would be deducted from payment of a claim under this Section of the Policy."
How will the Company assess the value of a claim?,The Company will assess the value of a claim based on the age and estimated wear and tear of the article that forms the basis of the claim.
What does the policy cover if baggage or personal effects are lost or damaged during the Period of Insurance?,The company will reimburse the insured person the cost of replacement of the articles for any amount up to the Total Sum Insured stated in the Schedule.
Is there a limit to the amount that can be claimed under the policy for lost or damaged baggage? ,"Yes, the amount that can be claimed is limited to the Total Sum Insured stated in the Schedule."
Will the company assess the value of the claim based on the age and estimated wear and tear of the article that forms the basis of the claim?,"Yes, all claims will be subject to the company at its own discretion assessing the value of the claim based on the age and estimated wear and tear of the article."
"If applicable and if payment has been made under the Baggage Delay Section, will any amounts paid be deducted from payment of a claim under this Section of the Policy?","Yes, any amounts paid under the Baggage Delay Section will be deducted from payment of a claim under this Section of the Policy."
What happens if the policyholder or insured person has other insurance against a loss covered by this Section?,The company shall not be liable for a greater proportion of the loss than the applicable benefit under this Section bears to the total applicable benefit under all such insurance.
What are some of the specific exclusions to the policy? ,"Specific exclusions to the policy include loss of cash, bank or currency notes, cheques, debit or credit cards or unauthorised use thereof, mechanical or electrical breakdown or derangement or breakage of fragile or brittle articles, or damage caused by such breakage unless caused by fire or by Accident to the conveying vehicle, destruction or damage due to wear and tear, moth or vermin, baggage, clothing and personal effects dispatched as unaccompanied baggage, theft from a motor vehicle unless the property is securely locked in the boot and entry to such vehicle is gained by visible, violent and forcible means, loss or damage to sports equipment whilst in use, contact lenses, samples, tools, loss, destruction, or damage"
What is the Baggage Delay Section of the insurance policy?,"If the baggage and/or personal effects owned by or in the custody of an Insured Person is delayed or misdirected for more than the Deductible stated in the Schedule, the Company will reimburse the Insured Person the cost of necessary personal effects up to the Sum Insured stated in the Schedule."
What are the specific conditions for the Baggage Delay Section to apply?,"The baggage and/or personal effects must have been checked in as registered baggage by the airline operating under a licence issued by a governmental authority having jurisdiction for the transportation of fare paying passengers on fixed established routes. If it is later determined that the baggage and/or personal effects has been lost, any amount claimed and paid to an Insured Person under the Baggage Delay Section will be deducted from any payment under the Baggage Loss Section.The Insured Person must exercise all reasonable measures and precautions for the safety of and recovery of any property insured hereunder. Notification of any apparent delay to baggage must be made immediately to the airline concerned. If the Insured Person has other insurance against a loss covered by this Section, the Company shall not be liable for a greater proportion of the loss than the applicable benefit under this Section bears to the total applicable benefit under all such insurance.If the Insured Person receives any form of compensation from the Common Carrier in the form of vouchers, tickets, or coupons, these items will be surrendered to the Company."
What are the specific exclusions for the Baggage Delay Section?,"Chartered flights, unless such flights are registered in the International Data System.
Confiscation of baggage by customs or any government authority.
Purchases made after arriving at the final destination mentioned on the airline ticket.
Baggage and/or personal effects sent under an airway-bill or bill of lading.
Delays due to a strike or industrial action existing or announced before the start of the journey.
Delays due to withdrawal of aircraft from service by any civil aviation authority of which notice had been given before the start of the journey.
Any delays of the return journey."
What does the Baggage Delay Section cover?,"The Baggage Delay Section of the insurance policy covers essential purchases, such as meals, refreshments, or related expenses resulting from a flight delay."
What is the condition for benefit payment under the Baggage Delay Section?,"To be eligible for benefits under the Baggage Delay Section, the baggage and personal effects must have been checked in as registered baggage by an airline licensed to transport fare-paying passengers."
What happens if the baggage is lost after being delayed?," If the baggage is later found to be lost, any payment made to the insured person under the Baggage Delay Section will be deducted from the payment made under the Baggage Loss Section."
What is the deductible for baggage and personal effects delay?,The deductible for baggage and personal effects delay is stated in the Schedule.
What are the specific conditions for the safety and recovery of property insured?,The insured person must exercise all reasonable measures and precautions for the safety and recovery of any property insured.
What should an insured person do if there is a delay in receiving their baggage?,The insured person must notify the concerned airline immediately if there is an apparent delay in receiving their baggage.
How are you,I am Fine
What is the condition for reimbursement under the Flight Delay Section?,"The Company agrees to reimburse up to the amount stated in the Schedule per hour, or up to the Total Sum Insured, whichever is the lesser, for essential purchases directly resulting from the delay or cancellation of the insured person's booked and confirmed flight."
What is the deductible for flight delay?,The deductible for flight delay is stated in the Schedule
What is the time limit for reporting a delay under the policy?,All claims must be reported to the company within twenty-one (21) days of a delay occurring.
What documents are required for filing a claim for flight delay benefits? ,"The insured person must furnish all information, documents, and evidence required by the company at no expense, including the policy number, detailed circumstances of the delay, a copy of the declaration of delay made by the public transport company, all receipts and invoices serving as proof of purchases made in connection with the flight delay, as well as proof of the delay and the flight number and place where the delay occurred."
What is the condition for the Company to be liable for a claim for flight delay?,The company shall not be liable for a claim arising as a result of chartered flights unless such flights are registered in the International Data System.
What is the condition for the availability of comparable alternative transport under the policy?,The company shall not be liable for any claim if comparable alternative transport has been made available within six (6) hours after scheduled departure time or within six (6) hours of an actual connecting flight arrival time.
What is the time limit for submitting a claim under the policy?,The insured person must report all claims within twenty-one (21) days of a delay occurring.
What are the specific exclusions under the policy for flight delay benefits?,"The company shall not be liable for any claim arising or as a result of an insured person failing to check-in according to the itinerary supplied unless it is due to a strike, or if the delay is due to"
What is the compensation amount for every six continuous hours in excess of the Deductible for an Insured Person who is travelling on board a hijacked Common Carrier?,The compensation amount for every six continuous hours in excess of the Deductible is stated in the Schedule.
"What is the definition of ""Hijacked"" in the insurance policy?","""Hijacked"" means the unlawful seizure or wrongful exercise of control of a Common Carrier, or the crew thereof"
Is the company liable to pay any benefit in respect of any Insured Person for any claim caused by civil authority?,"No, the company shall not be liable to pay any benefit in respect of any Insured Person for any claim caused by civil authority."
What is the meaning of Common Carrier in the insurance policy?,Common Carrier refers to a mode of transportation that transports people or goods from one place to another in exchange for payment.
Does the company provide any compensation if the hijacking happens before the start of the journey?,"No, the insurance policy does not mention compensation if the hijacking happens before the start of the journey."
Is the compensation amount the same for all insured persons in case of hijacking?,"Yes, the compensation amount for every six continuous hours in excess of the Deductible is the same for all insured persons."
Does the insurance policy cover hijacking of all types of common carriers?,"Yes, the insurance policy covers hijacking of all types of common carriers."
How long does the hijacking need to last for the insured person to be eligible for compensation?,The hijacking needs to last for six continuous hours in excess of the Deductible for the insured person to be eligible for compensation.
Is the insurance policy valid for international travel only?,The insurance policy does not specify if it is valid for international travel only.
Can an insured person claim compensation if the hijacking is caused by their own actions?,The insurance policy does not mention if an insured person can claim compensation if the hijacking is caused by their own actions.
Is there a limit to the Total Sum Insured for hijacking compensation?,"Yes, there is a limit to the Total Sum Insured for hijacking compensation"
Can an insured person claim compensation for expenses incurred during a hijacking other than for every six continuous hours in excess of the Deductible?,The insurance policy does not mention if an insured person can claim compensation for expenses incurred during a hijacking other than for every six continuous hours in excess of the Deductible.
Can an insured person claim compensation for emotional distress caused by hijacking?,The insurance policy does not mention if an insured person can claim compensation for emotional distress caused by hijacking.
Is there a time limit for an insured person to file a claim for hijacking compensation?,"The insurance policy mentions that all claims must be reported to the Company within twenty-one (21) days of a delay occurring. However, it does not mention if there is a time limit for an insured person to file a claim for hijacking compensation."
What is covered under Property Damage?,"Physical injury to, destruction of or loss of use of tangible property."
What is covered under Medical Payments to Others?,"Reasonable charges for medical, surgical, X-ray, dental, ambulance, hospital, professional nursing, prosthetic devices, and funeral services."
What is excluded from liability under the policy?,"Liability which is expected or intended by an Insured Person, liability arising out of or in connection with a business engaged in by an Insured Person, liability arising out of the rental or holding for rental of any part of any premises or a motor vehicle of any kind by an Insured Person, liability arising out of the rendering of or failure to render professional services, liability arising out of a premises, watercraft or aircraft that is owned by, rented to or rented by an Insured Person, liability arising out of the ownership, maintenance, use, loading or unloading of motor vehicles, all other motorised land conveyances, watercraft or aircraft, liability arising out of the transmission of a communicable disease by an Insured Person, liability arising out of sexual molestation, corporal punishment, or physical or mental abuse, liability arising out of the use, sale, manufacture, delivery, transfer or possession by any person of a controlled substance or contraband as defined by the appropriate authority or government agency, liability under any contract or agreement, property Damage to property owned by an Insured Person, property Damage to property rented to, occupied, or used by or in the care of an Insured Person, bodily Injury to any person eligible to receive any benefits voluntarily provided or required to be provided by an Insured Person under any worker's compensation law, non-occupational disablement law or occupational diseases law, any claims or suits arising from any Immediate Family Member, Close Business Associate or an Immediate Family Member of a Close Business Associate against an Insured Person."
What is the Company liable for in case of Property Damage or Medical Expenses arising out of one event?,The Company will not pay more than the Total Sum Insured for all Property Damage or Medical Expenses arising out of one event.
What happens if the Policyholder or Insured Person has other insurance against a loss covered by the Section?,The Company shall not be liable for a greater proportion of the loss than the applicable benefit under this Section bears to the total applicable benefit under all such insurance.
What are the pre-departure services provided in case of a travel-related emergency?,"Banking Facilities, Car rental Agency Referral & Limousine Arrangements, Destination Information, Foreign Exchange Information Services, Hotel Accommodation Referral, Inoculation Information Services, Travel Advisory Services, Visa Information Service, and Weather Information Services."
What is the assistance provided in case an Insured Person has been arrested following a car accident?,The arrangement of a bail bond.
What is required for the Assistance Provider to arrange a financial guarantee for a bail bond?,Payment secured through an Insured Person's credit card or personal assets.
What kind of assistance is provided for an emergency cash advance?,Assistance and liaisons with banks to arrange a cash advance subject to suitable guarantees.
What assistance is provided in case of loss or theft of an Insured Person's passport?,Assistance in contacting with consular authorities and arranging for its replacement.
What assistance is provided in case of theft or loss of travel documents or tickets?,Assistance in replacing the travel documents or tickets.
What is the arrangement provided for rented cars in case of an emergency?,Arrangement of a rented car.
Who is responsible for payment in case of rented cars in an emergency?,The Insured Person is responsible for payment.
What is the Claims Assistance provided for?,Details on how to correctly file a claim to the Company.
What is Embassy Referral?,"The address, contact numbers, and office hours for appropriate embassies and consulates in an emergency."
What is Emergency Travel Services?,"Assistance in new travel arrangements and reservations in the event of pre-departure cancellation or interruption, curtailment or delay during the trip, or following a Hospital stay of the Insured Person."
What is Lost Luggage Assistance?,Assistance for an Insured Person who has lost his or her luggage while travelling by contacting the appropriate authorities involved and advising the Insured Person who they should contact to recover their lost luggage.
What is the purpose of pre-departure services provided by the company?,"The purpose of pre-departure services provided by the company is to assist the insured person with information on banking facilities, car rental agencies, destination information, foreign exchange rates, hotel accommodation, inoculation requirements, travel advisories, visa requirements, and weather information for foreign countries."
What type of assistance is provided by the company in case of an emergency?,"The company provides various types of assistance in case of an emergency, such as arranging for a bail bond, emergency cash advance, replacement of lost passports or travel documents, car rental, embassy referral, emergency travel services, interpreting assistance, legal referral, lost luggage assistance, lost travel documents/credit card assistance, restaurant referral, and secretarial services & business centers referral."
"What is the definition of ""financial emergency"" according to the policy?","According to the policy, ""financial emergency"" means a situation wherein the insured loses all or a substantial amount of his/her travel funds due to theft, robbery, mugging, or dacoity, such that there is a detrimental effect on his/her travel plans."
Is the deductible excess applicable for each separate claim or for the entire policy period?,The deductible excess is applicable for each separate claim and not for the entire policy period.
Who has the sole discretion to determine whether a financial emergency has occurred in any instance?,The company has the sole discretion to determine whether a financial emergency has occurred in any instance.
What is the maximum amount of deductible excess as specified in the policy schedule?,The maximum amount of deductible excess is specified in the policy schedule and may vary depending on the policy terms and conditions.
Is the company liable to make any payment under this benefit for expenses incurred due to currency fluctuation?,"No, the company is not liable to make any payment under this benefit for expenses incurred due to currency fluctuation."
What is the time limit within which a loss must be reported to the police authorities in case of a claim?,"A loss must be reported to the police authorities having jurisdiction at the place of loss within 24 hours of the occurrence of the incident, and a written report must be obtained for the same."
Is the company liable to make any payment for any claim in respect of a loss of traveler's cheques not immediately reported to the local branches or agents of the issuing authority?,"No, the company is not liable to make any payment for any claim in respect of a loss of traveler's cheques not immediately reported to the local branches or agents of the issuing authority."
Is the company liable to make any payment for loss of funds not kept in the personal custody of the Insured?,"No, the company is not liable to make any payment for loss of funds not kept in the personal custody of the Insured."
Is the company liable to make any payment if the claim is put up after the arrival of the Insured to the Republic of India?,"No, the company is not liable to make any payment if the claim is put up after the arrival of the Insured to the Republic of India."
Are there any specific exclusions mentioned in the policy with respect to Financial Emergency Assistance?,"Yes, there are specific exclusions mentioned in the policy with respect to Financial Emergency Assistance, such as expenses incurred due to currency fluctuation, losses not reported to the police authorities within 24 hours, loss of traveler's cheques not immediately reported to the local branches or agents of the issuing authority, loss of funds not kept in the personal custody of the Ins"
What is the purpose of arranging hospital admission?,The purpose of arranging hospital admission is to assist an insured person in arranging for hospital admission when their medical condition requires such action.
What is the guarantee of medical expenses incurred during a hospital stay service?,"The guarantee of medical expenses incurred during a hospital stay service provides a guarantee for the medical treatment necessary during an insured person's hospital stay, if the assistance provider has secured payment through an insured person's credit card or through the insured person's assets or the insurance policy."
What is emergency message transmission?,"Emergency message transmission is a messenger service to transmit messages or medical information, upon the insured person's request and consent, to the insured person's family, friends, and/or business associates following a medical emergency."
What is medical service provider referral?,"Medical service provider referral is a service that provides information to an insured person about physicians, hospitals, clinics, dentists, etc. when and where the insured person needs treatment."
What is the purpose of arranging repatriation of mortal remains?,The purpose of arranging repatriation of mortal remains is to arrange the transportation of the insured person's mortal remains from the place of death to his/her home country or to arrange for local burial at the
What is the purpose of arranging medical repatriation?,"The purpose of arranging medical repatriation is to assist an insured person in arranging air/surface transportation, necessary medical care during transportation, communications, and all usual ancillary services when moving an insured person to his/her country of residence following an emergency medical evacuation for subsequent in-hospital treatment."
What is the purpose of arranging emergency medical evacuation?,"The purpose of arranging emergency medical evacuation is to assist an insured person in arranging air/surface transportation, medical care during transportation, communications, and all usual ancillary services when moving an insured person to the nearest hospital where appropriate treatment can be received."
What is the maximum compensation for permanent disablement not otherwise provided for under Items 2-22 inclusive?,Seventy Five percent of the Total Sum Insured.
"What is the compensation for ankylosis of the elbow, hip, or knee?",Twenty percent of the Total Sum Insured.
What is the compensation for established non-union of a fractured leg or kneecap?,Ten percent of the Total Sum Insured.
"What is the compensation for permanent total loss of use of toes, big - each toe?",Two percent of the Total Sum Insured.
"What is the compensation for permanent total loss of use of toes, big - one joint?",Two percent of the Total Sum Insured.
"What is the compensation for permanent total loss of use of toes, big - both joints?",Five percent of the Total Sum Insured.
"What is the compensation for permanent total loss of use of toes, all - one foot?",Fifteen percent of the Total Sum Insured.
What is the compensation for permanent total loss of one finger of either hand with one joint?,Two percent of the Total Sum Insured.
What is the compensation for permanent total loss of one finger of either hand with two joints?,3.5 percent of the Total Sum Insured.
What is the compensation for permanent total loss of one finger of either hand with three joints?,Five percent of the Total Sum Insured.
What is the compensation for permanent total loss of use of one thumb of either hand with one joint?,Ten percent of the Total Sum Insured.
What is the compensation for permanent total loss of use of one thumb of either hand with both joints or one joint?,Twenty percent of the Total Sum Insured.
What is the compensation for permanent total loss of use of four fingers of either hand?,Twenty percent of the Total Sum Insured.
What is the compensation for permanent total loss of use of four fingers and thumb of either hand?,Forty percent of the Total Sum Insured.
What is the compensation for permanent total loss of the lens in one eye?,Twenty-five percent of the Total Sum Insured.
What is the compensation for permanent total loss of hearing in one ear?,Fifteen percent of the Total Sum Insured.
What is the compensation for permanent total loss of sight of one eye?,Fifty percent of the Total Sum Insured
What is the compensation for permanent total loss of one limb?,Fifty percent of the Total Sum Insured.
What is the compensation for permanent total loss of hearing in both ears?,Seventy-five percent of the Total Sum Insured.
What is the compensation for permanent total loss of the central nervous system or the thorax and all abdominal organs resulting in the complete inability to engage in any job and the inability to carry out daily activities essential to life without full-time assistance?,One hundred percent of the Total Sum Insured.
What is the compensation for permanent total loss of mastication?,One hundred percent of the Total Sum Insured.
What is the compensation for complete removal of the lower jaw?,One hundred percent of the Total Sum Insured.
What is the compensation for permanent total loss of sight of one eye and one limb?,One hundred percent of the Total Sum Insured.
What is the compensation for permanent total loss of sight in both eyes?,One hundred percent of the Total Sum Insured.
What is the compensation for permanent total loss of two limbs?,One hundred percent of the Total Sum Insured.
What is the compensation percentage for permanent total loss of use of toes on one foot?,The compensation is 15% of the total sum insured.
What is the compensation percentage for established non-union of fractured leg or kneecap?,The compensation is 10% of the total sum insured.
What is the compensation percentage for permanent total loss of use of one thumb of either hand with both joints,The compensation is 20% of the total sum insured.
What is the compensation percentage for permanent total loss of mastication?,The compensation is 100% of the total sum insured.
What is the compensation percentage for permanent total loss of the lens in one eye? ,The compensation is 25% of the total sum insured.
What is the compensation percentage for permanent total loss of use of four fingers and thumb of either hand?,The compensation is 40% of the total sum insured.
What is the compensation percentage for permanent total loss of one finger of either hand with two joints?,The compensation is 3.5% of the total sum insured.
